"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2017-06-29";"NT012";30;1;"加班 2017-06-29 2.5h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2017-07-01";"NT012";30;1;"加班 2017-07-01 8h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2017-07-10";"NT012";30;1;"加班 2017-07-10 2.5h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2017-08-05";"NT012";60;1;"加班 2017-08-05 10h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2017-12-26";"NT012";30;1;"加班 2017-12-26 2.5h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2017-12-28";"NT012";30;1;"加班 2017-12-28 2.5h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2016-11-26";"NT016";30;1;"加班 2016-11-26 9h";5;"2018-02-20";0;"2018-02-20 00:00:00";"NT016";1;"报销功能上线历史记录数据修正"
"2016-11-30";"NT016";30;1;"加班 2016-11-30 2.5h";5;"2018-02-20";0;"2018-02-20 00:00:00";"NT016";1;"报销功能上线历史记录数据修正"
"2016-12-01";"NT016";30;1;"加班 2016-12-01 2.5h";5;"2018-02-20";0;"2018-02-20 00:00:00";"NT016";1;"报销功能上线历史记录数据修正"
"2016-12-03";"NT016";30;1;"加班 2016-12-03 9h";5;"2018-02-20";0;"2018-02-20 00:00:00";"NT016";1;"报销功能上线历史记录数据修正"
"2017-01-07";"NT016";30;1;"加班 2017-01-07 7h";5;"2018-02-20";0;"2018-02-20 00:00:00";"NT016";1;"报销功能上线历史记录数据修正"
"2017-02-04";"NT016";30;1;"加班 2017-02-04 4h";5;"2018-02-20";0;"2018-02-20 00:00:00";"NT016";1;"报销功能上线历史记录数据修正"
"2018-01-14";"869";30;1;"加班 2018-01-14 7h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-01-21";"869";30;1;"加班 2018-01-21 5.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-02-01";"869";30;1;"加班 2018-02-01 3.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-02-03";"869";30;1;"加班 2018-02-03 6.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-11-20";"869";30;1;"加班 2017-11-20 3h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-11-25";"869";30;1;"加班 2017-11-25 5.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-12-05";"869";30;1;"加班 2017-12-05 3.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-12-09";"869";30;1;"加班 2017-12-09 5.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-12-17";"869";30;1;"加班 2017-12-17 7h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-12-19";"869";30;1;"加班 2017-12-19 2.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-12-20";"869";30;1;"加班 2017-12-20 3.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-12-23";"869";30;1;"加班 2017-12-23 9.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-01-06";"869";30;1;"加班 2018-01-06 9.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-01-09";"869";30;1;"加班 2018-01-09 2.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2018-01-17";"869";30;1;"加班 2018-01-17 2.5h";17;"2018-03-02";0;"2018-04-10 00:00:00";"869";1;"发票336+250+250=836元，少报销9.5元"
"2017-02-25";"NT011";30;1;"加班 2017-02-25 7h";19;"2018-03-07";0;"";"869";1;"历史记录的销账"
"2017-03-04";"NT011";30;1;"加班 2017-03-04 8h";19;"2018-03-07";0;"";"869";1;"历史记录的销账"
"2017-03-14";"NT011";30;1;"加班 2017-03-14 4h";19;"2018-03-07";0;"";"869";1;"历史记录的销账"
